SOCIETY_CD,SOCIETY_NAME,CREATED_DATE,CREATED_BY
'ASDIN','American Society of Diagnostic and Interventional Nephrology',sysdate,0
'ASHI','American Society of Hypertension, Inc',sysdate,0
'ASLME','American Society of Law, Medicine & Ethics',sysdate,0
'ASNE','American Society of Naval Engineers',sysdate,0
'ASNSP','American Society of Neuroimaging',sysdate,0
'ASTS','American Society of Transplant Surgeons',sysdate,0
'AWRA','American Water Resources Association',sysdate,0
'AC','Analysis Committee',sysdate,0
'ATOS','Anticancer Therapeutics and Oncology Society',sysdate,0
'ARSC','Applied Regional Science Conference',sysdate,0
'AL','Asempa Ltd',sysdate,0
'AOFOG','Asia and Oceania Federation of Obstetrics and Gynaecology',sysdate,0
'APPS','Asia and the Pacific Policy Society',sysdate,0
'AETF','Asia Endosurgery Task Force',sysdate,0
'APCNS','Asia Pacific Clinical Nutrition Society',sysdate,0
'APLAR','Asia Pacific League of Associations for Rheumatology',sysdate,0
'APSEM','Asia Pacific School of Economics and Management',sysdate,0
'AASD3','Asian Association for the Study of Diabetes',sysdate,0
'AASP','Asian Association of Social Psychology',sysdate,0
'ACHES','Asian Chemical Editorial Society',sysdate,0
'APSN','Asian Pacific Society of Nephrology',sysdate,0
'APSR','Asian Pacific Society of Respirology',sysdate,0
'ASAA','Asian Studies Association of Australia',sysdate,0
'ACAMH','Association for Child and Adolescent Mental Health',sysdate,0
'ACTS','Association for Clinical and Translational Science',sysdate,0
'ADEE','Association for Dental Education in Europe',sysdate,0
'AFTSPU','Association for Family Therapy and Systemic Practice in the UK',sysdate,0
'AHME','Association for Hospital Medical Education ',sysdate,0
'AIST','Association for Information Science and Technology',sysdate,0
'APOR','Association for Patient Oriented Research',sysdate,0
'APET','Association for Public Economic Theory',sysdate,0
'APPAM','Association for Public Policy Analysis and Management',sysdate,0
'APTJIM','Association for Publication of The Journal of Internal Medicine',sysdate,0
'ARIL','Association for Religion and Intellectual Life',sysdate,0
'ASLO','Association for the Sciences of Limnology and Oceanography',sysdate,0
'ASEN','Association for the Study of Ethnicity and Nationalism',sysdate,0
'ASME','Association for the Study of Medical Education',sysdate,0
'ATBC','Association for Tropical Biology and Conservation',sysdate,0
'AAG','Association of American Geographers',sysdate,0
'AAP','Association of American Physicians',sysdate,0
'AAGBI','Association of Anaesthetists of Great Britain and Ireland',sysdate,0
'PQPC','Political Quarterly Publishing Co ',sysdate,0
'PCACA','Popular Culture Association/American Culture Association',sysdate,0
'PC','Population Council',sysdate,0
'PDMA','Product Development and Management Association',sysdate,0
'POMS','Production and Operations Management Society',sysdate,0
'PNHLS','Program on Negotiation at Harvard Law School',sysdate,0
'PMI','Project Management Institute',sysdate,0
